City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,kodoli,16.8833,74.2,23.21,95,100,3.47,IN,1727185671
139,saint-philippe,-21.3585,55.7679,22.12,76,34,4.82,RE,1727185672
140,happy valley-goose bay,53.3168,-60.3315,8.17,93,75,2.06,CA,1727185673
141,nola,40.922,14.5329,24.66,71,47,3.86,IT,1727185674
142,basco,20.4487,121.9702,29.02,76,100,0.66,PH,1727185675
143,tolanaro,-25.0319,46.9987,21.04,88,75,6.17,MG,1727185677
144,soio,-6.1349,12.3689,25.67,75,44,4.96,AO,1727185678
145,chinde,26.8212,87.7095,25.26,90,100,1.63,NP,1727185679
146,glencoe,-28.1783,30.147,26.5,31,100,4.7,ZA,1727185680
147,malayer,34.2969,48.8235,27.73,17,0,8.29,IR,1727185681
148,luanco,43.6152,-5.7934,22.23,71,79,2.68,ES,1727185682
149,vilyuysk,63.7553,121.6247,7.34,92,76,3.66,RU,1727185683
150,praia da vitoria,38.7333,-27.0667,28.14,69,40,5.62,PT,1727185685
151,astara,38.5,48.6667,20.99,87,59,1.55,AZ,1727185686
152,kyosai,34.8503,128.5886,21.73,80,89,5.64,KR,1727185687
153,berdigestyakh,62.0989,126.6992,2.86,85,82,2.26,RU,1727185688
154,tamanrasset,22.785,5.5228,35.95,13,40,4.12,DZ,1727185689
155,saipan,15.1355,145.701,28.39,89,75,1.54,MP,1727185690
156,kalispell,48.1958,-114.3129,7.39,89,0,0.24,US,1727185691
157,bethanie,-26.4833,17.15,30.31,8,0,10.96,NA,1727185693
158,san patricio,28.017,-97.5169,25.97,75,0,3.03,US,1727185694
159,gaiman,-43.2897,-65.4929,12.11,21,30,10.3,AR,1727185695
160,grand falls-windsor,48.9332,-55.6649,10.84,92,100,0.45,CA,1727185696
161,hasaki,35.7333,140.8333,23.12,59,100,7.1,JP,1727185697
162,stanley,54.868,-1.6985,13.07,76,40,1.54,GB,1727185698
163,el granada,37.5027,-122.4694,20.38,67,20,2.06,US,1727185700
164,badger,64.8,-147.5333,6.95,75,100,3.6,US,1727185701
165,isangel,-19.55,169.2667,22.17,89,100,3.77,VU,1727185702
166,chalus,36.655,51.4204,25.7,78,75,2.06,IR,1727185704
167,minas de marcona,-15.2119,-75.1103,15.37,65,40,4.72,PE,1727185705
